Trddt,IC1505,IC1506,IC1507,IC1508,IC1509,IC1510,IC1511,IC1512,IC1601,IC1602,IC1603,IC1604,IC1605,IC1606,IC1607,IC1608,IC1609,IC1610,IC1611,IC1612,IC1701,IC1702,IC1703,IC1704,IC1705,IC1706,IC1707,IC1708,IC1709,IC1710,IC1711,IC1712,IC1801,IC1802,IC1803,IC1804,IC1805,IC1806,IC1807,IC1808,IC1809,IC1810,IC1811,IC1812,IC1901,IC1902,IC1903,IC1904,IC1905,IC1906,IC1907,IC1908,IC1909,IC1910,IC1911,IC1912,IC2001,IC2002,IC2003,IC2004,IC2005,IC2006,IC2007,IC2008,IC2009,IC2010,IC2011,IC2012,IC2101,IC2102,IC2103,IC2104,IC2105,IC2106,IC2107,IC2108,IC2109,IC2110,IC2111,IC2112,IC2201,IC2202,IC2203,IC2204,IC2205,IC2206,IC2207,IC2208,IC2209,IC2210,IC2211,IC2212,IC2303,IC2306,IF1101,IF1102,IF1103,IF1104,IF1105,IF1106,IF1107,IF1108,IF1109,IF1110,IF1111,IF1112,IF1201,IF1202,IF1203,IF1204,IF1205,IF1206,IF1207,IF1208,IF1209,IF1210,IF1211,IF1212,IF1301,IF1302,IF1303,IF1304,IF1305,IF1306,IF1307,IF1308,IF1309,IF1310,IF1311,IF1312,IF1401,IF1402,IF1403,IF1404,IF1405,IF1406,IF1407,IF1408,IF1409,IF1410,IF1411,IF1412,IF1501,IF1502,IF1503,IF1504,IF1505,IF1506,IF1507,IF1508,IF1509,IF1510,IF1511,IF1512,IF1601,IF1602,IF1603,IF1604,IF1605,IF1606,IF1607,IF1608,IF1609,IF1610,IF1611,IF1612,IF1701,IF1702,IF1703,IF1704,IF1705,IF1706,IF1707,IF1708,IF1709,IF1710,IF1711,IF1712,IF1801,IF1802,IF1803,IF1804,IF1805,IF1806,IF1807,IF1808,IF1809,IF1810,IF1811,IF1812,IF1901,IF1902,IF1903,IF1904,IF1905,IF1906,IF1907,IF1908,IF1909,IF1910,IF1911,IF1912,IF2001,IF2002,IF2003,IF2004,IF2005,IF2006,IF2007,IF2008,IF2009,IF2010,IF2011,IF2012,IF2101,IF2102,IF2103,IF2104,IF2105,IF2106,IF2107,IF2108,IF2109,IF2110,IF2111,IF2112,IF2201,IF2202,IF2203,IF2204,IF2205,IF2206,IF2207,IF2208,IF2209,IF2210,IF2211,IF2212,IF2303,IF2306,IH1505,IH1506,IH1507,IH1508,IH1509,IH1510,IH1511,IH1512,IH1601,IH1602,IH1603,IH1604,IH1605,IH1606,IH1607,IH1608,IH1609,IH1610,IH1611,IH1612,IH1701,IH1702,IH1703,IH1704,IH1705,IH1706,IH1707,IH1708,IH1709,IH1710,IH1711,IH1712,IH1801,IH1802,IH1803,IH1804,IH1805,IH1806,IH1807,IH1808,IH1809,IH1810,IH1811,IH1812,IH1901,IH1902,IH1903,IH1904,IH1905,IH1906,IH1907,IH1908,IH1909,IH1910,IH1911,IH1912,IH2001,IH2002,IH2003,IH2004,IH2005,IH2006,IH2007,IH2008,IH2009,IH2010,IH2011,IH2012,IH2101,IH2102,IH2103,IH2104,IH2105,IH2106,IH2107,IH2108,IH2109,IH2110,IH2111,IH2112,IH2201,IH2202,IH2203,IH2204,IH2205,IH2206,IH2207,IH2208,IH2209,IH2210,IH2211,IH2212,IH2303,IH2306,IM2208,IM2209,IM2210,IM2211,IM2212,IM2303,IM2306
2011-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3171.8,3215.0,3244.0,,,3323.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3188.0,3217.2,3255.8,,,3321.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3197.6,3226.0,3261.2,,,3339.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3162.0,3183.2,3234.8,,,3313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3183.0,3191.4,3234.0,,,3309.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3130.0,3150.8,3182.6,,,3250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3151.0,3173.4,3202.6,,,3279.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3167.0,3185.0,3214.0,,,3300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3143.0,3169.4,3193.6,,,3271.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3090.2,3111.2,3139.8,,,3212.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
