code,date,open,high,low,close,volume,value,return
300,2011-01-04,3155.56,3194.36,3143.6,3189.68,854104.4,12915962.08,1.9634
906,2011-01-04,3470.68,3510.37,3456.47,3507.01,1224060.84,18330842.21,1.842
905,2011-01-04,4964.21,5012.06,4938.94,5011.5,369956.44,5414880.14,1.5148
905,2011-01-05,4989.11,5038.87,4964.87,5028.77,347522.18,5201661.92,0.3446
906,2011-01-05,3487.12,3514.33,3474.29,3499.01,1140210.28,16895983.31,-0.2281
300,2011-01-05,3170.18,3193.78,3158.87,3175.66,792688.1,11694321.39,-0.4395
906,2011-01-06,3500.3,3520.05,3473.93,3480.96,909198.36,13745557.6,-0.5159
300,2011-01-06,3177.84,3198.05,3152.57,3159.64,596810.92,9156844.7,-0.5045
905,2011-01-06,5026.33,5047.26,4992.17,5001.28,312387.43,4588712.9,-0.5467
906,2011-01-07,3476.33,3525.88,3460.29,3481.63,1190894.66,16087847.35,0.0192
905,2011-01-07,4990.7,5028.27,4945.78,4975.14,349962.33,4722722.33,-0.5227
300,2011-01-07,3156.36,3209.9,3141.13,3166.62,840932.33,11365125.02,0.2209
300,2011-01-10,3162.09,3182.78,3102.43,3108.19,654944.06,8799288.17,-1.8452
906,2011-01-10,3476.37,3493.5,3400.36,3407.42,966322.68,13182605.8,-2.1315
905,2011-01-10,4966.56,4970.42,4816.58,4830.56,311378.62,4383317.62,-2.906
300,2011-01-11,3096.25,3131.29,3084.51,3124.92,569859.17,7483244.94,0.5383
906,2011-01-11,3394.17,3422.69,3373.8,3416.0,844920.06,11151306.62,0.2518
905,2011-01-11,4811.16,4815.5,4747.49,4804.82,275060.89,3668061.68,-0.5329
300,2011-01-12,3135.18,3153.43,3099.41,3142.34,584985.18,7155142.14,0.5575
906,2011-01-12,3425.87,3446.75,3388.07,3435.41,854129.15,10539378.96,0.5682
905,2011-01-12,4813.49,4846.95,4764.47,4833.58,269143.98,3384236.82,0.5986
905,2011-01-13,4851.68,4859.53,4810.91,4826.76,254437.73,3245320.49,-0.1411
300,2011-01-13,3153.99,3157.04,3127.16,3141.28,519369.88,6692578.37,-0.0337
906,2011-01-13,3448.18,3451.88,3419.02,3433.27,773807.61,9937898.86,-0.0623
905,2011-01-14,4816.66,4816.66,4719.15,4723.43,278117.74,3653176.77,-2.1408
300,2011-01-14,3129.67,3129.67,3083.51,3091.86,533514.39,7101210.01,-1.5732
906,2011-01-14,3422.04,3422.04,3366.71,3374.09,811632.13,10754386.79,-1.7237
300,2011-01-17,3067.43,3078.88,2968.61,2974.35,668075.62,8545412.11,-3.8006
906,2011-01-17,3348.33,3357.25,3234.59,3241.32,974850.72,12399496.98,-3.935
905,2011-01-17,4690.88,4691.57,4507.57,4519.91,306775.1,3854084.87,-4.3087
905,2011-01-18,4502.06,4550.29,4483.5,4536.96,194428.66,2423140.99,0.3772
300,2011-01-18,2965.42,2984.47,2947.6,2977.65,429645.64,5465241.65,0.1109
906,2011-01-18,3230.78,3254.41,3213.31,3247.19,624074.3,7888382.63,0.1811
300,2011-01-19,2978.46,3045.61,2967.24,3044.85,565719.42,7277222.69,2.2568
906,2011-01-19,3248.22,3322.35,3238.19,3321.74,809328.8,10477159.98,2.2958
905,2011-01-19,4538.99,4646.09,4530.61,4646.09,243609.38,3199937.29,2.4054
906,2011-01-20,3314.56,3314.56,3209.3,3209.49,896991.06,11265491.46,-3.3793
905,2011-01-20,4637.77,4637.77,4476.56,4477.36,286524.63,3621479.79,-3.6317
300,2011-01-20,3037.86,3037.86,2944.5,2944.71,610466.43,7644011.67,-3.2888
300,2011-01-21,2935.23,3030.27,2935.14,2983.46,731029.66,8515779.07,1.3159
905,2011-01-21,4459.99,4549.59,4445.23,4506.32,270950.42,3338689.97,0.6468
906,2011-01-21,3198.6,3291.37,3198.11,3246.07,1001980.08,11854469.04,1.1397
300,2011-01-24,2986.09,2999.2,2943.92,2954.23,654725.45,7580523.61,-0.9797
905,2011-01-24,4506.61,4521.13,4397.02,4398.5,252206.82,3207448.0,-2.3926
906,2011-01-24,3248.24,3261.42,3195.21,3202.25,906932.27,10787971.61,-1.3499
300,2011-01-25,2949.65,2960.59,2919.16,2938.65,489826.89,5757281.95,-0.5274
905,2011-01-25,4390.16,4392.22,4307.91,4341.91,213361.69,2664903.53,-1.2866
906,2011-01-25,3196.99,3203.16,3157.08,3179.06,703188.57,8422185.48,-0.7242
300,2011-01-26,2939.77,2982.32,2939.36,2978.43,433749.79,5174603.81,1.3537
905,2011-01-26,4339.86,4426.25,4339.86,4424.89,197431.24,2523523.96,1.9111
906,2011-01-26,3179.57,3229.92,3179.36,3226.66,631181.03,7698127.77,1.4973
906,2011-01-27,3201.62,3290.44,3181.91,3279.94,1105507.36,13258496.97,1.6512
905,2011-01-27,4397.93,4514.43,4369.87,4502.81,279648.17,3560893.98,1.7609
300,2011-01-27,2953.59,3037.16,2935.27,3026.47,825859.19,9697602.99,1.6129
300,2011-01-28,3020.12,3047.27,3011.38,3036.74,630135.89,7824191.77,0.3393
