changeDate,Symbol,TradingFee,ShortTradingMargin,ContractMultiple
2011-01-04,IF1101,5e-05,0.15,300
2011-01-18,IF1102,5e-05,0.15,300
2011-02-15,IF1103,5e-05,0.15,300
2011-03-15,IF1104,5e-05,0.15,300
2011-04-12,IF1105,5e-05,0.15,300
2011-05-17,IF1106,5e-05,0.15,300
2011-06-14,IF1107,5e-05,0.15,300
2011-07-12,IF1108,5e-05,0.15,300
2011-08-16,IF1109,5e-05,0.15,300
2011-09-13,IF1110,5e-05,0.15,300
2011-10-18,IF1111,5e-05,0.15,300
2011-11-15,IF1112,5e-05,0.15,300
2011-12-13,IF1201,5e-05,0.15,300
2012-01-17,IF1202,5e-05,0.15,300
2012-02-14,IF1203,5e-05,0.15,300
2012-03-13,IF1204,5e-05,0.15,300
2012-04-17,IF1205,5e-05,0.15,300
2012-05-15,IF1206,3.5e-05,0.15,300
2012-06-12,IF1207,3.5e-05,0.12,300
2012-07-17,IF1208,3.5e-05,0.12,300
2012-08-14,IF1209,2.5e-05,0.12,300
2012-09-18,IF1210,2.5e-05,0.12,300
2012-10-16,IF1211,2.5e-05,0.12,300
2012-11-13,IF1212,2.5e-05,0.12,300
2012-12-18,IF1301,2.5e-05,0.12,300
2013-01-15,IF1302,2.5e-05,0.12,300
2013-02-06,IF1303,2.5e-05,0.12,300
2013-03-12,IF1304,2.5e-05,0.12,300
2013-04-16,IF1305,2.5e-05,0.12,300
2013-05-14,IF1306,2.5e-05,0.12,300
2013-06-18,IF1307,2.5e-05,0.12,300
2013-07-16,IF1308,2.5e-05,0.12,300
2013-08-13,IF1309,2.5e-05,0.12,300
2013-09-16,IF1310,2.5e-05,0.12,300
2013-10-15,IF1311,2.5e-05,0.12,300
2013-11-12,IF1312,2.5e-05,0.12,300
2013-12-17,IF1401,2.5e-05,0.12,300
2014-01-14,IF1402,2.5e-05,0.12,300
2014-02-18,IF1403,2.5e-05,0.12,300
2014-03-18,IF1404,2.5e-05,0.12,300
2014-04-15,IF1405,2.5e-05,0.12,300
2014-05-13,IF1406,2.5e-05,0.12,300
2014-06-17,IF1407,2.5e-05,0.12,300
2014-07-15,IF1408,2.5e-05,0.12,300
2014-08-12,IF1409,2.5e-05,0.1,300
2014-09-16,IF1410,2.5e-05,0.1,300
2014-10-14,IF1411,2.5e-05,0.1,300
2014-11-18,IF1412,2.5e-05,0.1,300
2014-12-16,IF1501,2.5e-05,0.1,300
2015-01-13,IF1502,2.5e-05,0.1,300
2015-02-13,IF1503,2.5e-05,0.1,300
2015-03-17,IF1504,2.5e-05,0.1,300
2015-04-14,IF1505,2.5e-05,0.1,300
2015-05-12,IC1506,2.5e-05,0.1,200
2015-06-16,IC1507,2.5e-05,0.3,200
2015-07-14,IC1508,2.3e-05,0.3,200
2015-08-18,IC1509,2.3e-05,0.4,200
2015-09-15,IC1510,2.3e-05,0.4,200
